name,Collection,entry_year,Destination.after.study
"Stewart, Alexander","Early Veterinary Graduates, 1825-1865",1866,"Rothiemay, Aberdeen"
"Faichney, John","Early Veterinary Graduates, 1825-1865",1853,"Douglas, Isle of Man"
"Tait, John","Early Veterinary Graduates, 1825-1865",1835,Tweedmouth
"Jaffrey, Thomas","Early Veterinary Graduates, 1825-1865",1852,Forres
"Bell, Liiccock","Early Veterinary Graduates, 1825-1865",1845,Paris
"Fulton, Gilbert","Early Veterinary Graduates, 1825-1865",1836,"Liverpool,"
"Prentice, Robert","Early Veterinary Graduates, 1825-1865",1852,Bathgate
"Bey, Willam","Early Veterinary Graduates, 1825-1865",1851,"Tarland, Aberdeen"
"Hurst, James","Early Veterinary Graduates, 1825-1865",1851,Liverpool
"Field, William Allan","Early Veterinary Graduates, 1825-1865",1857,London
"Hill, H.","Early Veterinary Graduates, 1825-1865",1863,"Cadis Head, Lancashire"
"Rumney, Oswald J.","Early Veterinary Graduates, 1825-1865",1857,Cumberland
"Tait, Joseph","Early Veterinary Graduates, 1825-1865",1861,Portsoy
"Henderson, Alexander","Early Veterinary Graduates, 1825-1865",1857,Aberdeenshire
"Charles, J. W.","Early Veterinary Graduates, 1825-1865",1840,Accrington
"Kettle, James","Early Veterinary Graduates, 1825-1865",1866,Leith Fort
"Dawson, John","Early Veterinary Graduates, 1825-1865",1843,Strathdon
"Carrick, William","Early Veterinary Graduates, 1825-1865",1824,"Cupar, Fife"
"Darling, F. B.","Early Veterinary Graduates, 1825-1865",1848,late Australia
"Lowe, Charles","Early Veterinary Graduates, 1825-1865",1851,"Redgorton, Perthshire"
"Campbell, John","Early Veterinary Graduates, 1825-1865",1842,7th Madras Light Dragoons
"Lyon, William","Early Veterinary Graduates, 1825-1865",1833,Forfar
"Fulton, John","Early Veterinary Graduates, 1825-1865",1830,Ayr
"Ainslie, John Aldington","Early Veterinary Graduates, 1825-1865",1835,London
"Pallin, William","Early Veterinary Graduates, 1825-1865",1863,"Carlow, Ireland"
"Aitkin, William","Early Veterinary Graduates, 1825-1865",1849,Edinburgh
"Campbell, Thomas","Early Veterinary Graduates, 1825-1865",1854,"Yonderton, Ayrshire"
"Wragg, G. Moore","Early Veterinary Graduates, 1825-1865",1850,Doncaster
"Thomson, Thomas","Early Veterinary Graduates, 1825-1865",1840,Sunderland
"M'Naughton, Edward","Early Veterinary Graduates, 1825-1865",1846,Melbourne
"M'Naughton, John","Early Veterinary Graduates, 1825-1865",1836,Langholm
"Chalwin, E. G.","Early Veterinary Graduates, 1825-1865",1848,India
"Carlisle, William","Early Veterinary Graduates, 1825-1865",1847,Wigton
"M'Lean, John","Early Veterinary Graduates, 1825-1865",1837,Edinburgh
"M'Dougall, John","Early Veterinary Graduates, 1825-1865",1860,Cardross
"Purdie, John","Early Veterinary Graduates, 1825-1865",1833,"Weston, Lanarkshire"
"Balfour, John","Early Veterinary Graduates, 1825-1865",1861,Montrose
"M'Gregor, John","Early Veterinary Graduates, 1825-1865",1850,"Tain, Sutherland"
"Pears, Henry","Early Veterinary Graduates, 1825-1865",1858,"Walton, Cumberland"
"Borrowman, James","Early Veterinary Graduates, 1825-1865",1837,"Little France, Edinburgh"
"Marno, William","Early Veterinary Graduates, 1825-1865",1857,"Kennethmont, Aberdeenshire"
"Hall, Charles","Early Veterinary Graduates, 1825-1865",1854,Staffordshire
"Fulton, David","Early Veterinary Graduates, 1825-1865",1859,"Mullingar, Ireland,"
"Shenton, Richard","Early Veterinary Graduates, 1825-1865",1855,Derbyshire
"Haycock, William","Early Veterinary Graduates, 1825-1865",1842,Manchester
"Ashe, Edward Evanson","Early Veterinary Graduates, 1825-1865",1849,Cork
"Nicholson, Robert","Early Veterinary Graduates, 1825-1865",1844,"Womersley, Yorkshire"
"Day, Frederick J.","Early Veterinary Graduates, 1825-1865",1850,York
"Malcolm, John","Early Veterinary Graduates, 1825-1865",1863,"Enniscorthy, Ireland"
"Miscamble, John","Early Veterinary Graduates, 1825-1865",1845,"Melbourne, Australia"
"Tennant, J. B.","Early Veterinary Graduates, 1825-1865",1840,Maybole
"Hallen, J. H. B.","Early Veterinary Graduates, 1825-1865",1848,"E.I.C., India"
"Dickie, Robert","Early Veterinary Graduates, 1825-1865",1861,Ayr
"Stewart, George","Early Veterinary Graduates, 1825-1865",1858,Perth
"Lockwood, G. W.","Early Veterinary Graduates, 1825-1865",1840,York
"Brotherton, Richard","Early Veterinary Graduates, 1825-1865",1843,Australia
"M'Robie, Robert","Early Veterinary Graduates, 1825-1865",1842,Glasgow
"Low, John","Early Veterinary Graduates, 1825-1865",1842,"Pittendennie, Perth"
"Murray, William C.","Early Veterinary Graduates, 1825-1865",1844,Portobello
"Robinson, Alexander","Early Veterinary Graduates, 1825-1865",1849,Greenock
"Rennie, George","Early Veterinary Graduates, 1825-1865",1836,Elgin
"Brown, James","Early Veterinary Graduates, 1825-1865",1844,North Berwick
"Jebson, James","Early Veterinary Graduates, 1825-1865",1854,"Bishop Wilton, Yorkshire"
"Dunlop, Andrew","Early Veterinary Graduates, 1825-1865",1862,New Zealand
"Corbett, John","Early Veterinary Graduates, 1825-1865",1826,"Simonburn, near Hexham"
"Dobson, John","Early Veterinary Graduates, 1825-1865",1847,"March, Cambridgeshire"
"Auckland, Joseph","Early Veterinary Graduates, 1825-1865",1840,Elgin
"Roberts, Robert","Early Veterinary Graduates, 1825-1865",1854,Merioneth
"Thomson, Henry","Early Veterinary Graduates, 1825-1865",1860,"Aspatria, Cumberland"
"Mather, Thomas","Early Veterinary Graduates, 1825-1865",1840,Edinburgh
"Aitkin, David","Early Veterinary Graduates, 1825-1865",1852,Dunfermline
"M'Gill, John F.","Early Veterinary Graduates, 1825-1865",1849,Ayrshire
"Fergusson, John H.","Early Veterinary Graduates, 1825-1865",1862,Ayr
"Burnett, Robert","Early Veterinary Graduates, 1825-1865",1864,Glasgow
"Littler, Robert","Early Veterinary Graduates, 1825-1865",1850,"Clawson, Leicestershire"
"Barron, George","Early Veterinary Graduates, 1825-1865",1856,"Echt, Aberdeenshire"
"Rowlands, David","Early Veterinary Graduates, 1825-1865",1864,"Oswestress, Denbighshire"
"Martin, Henry","Early Veterinary Graduates, 1825-1865",1860,Scone
"Horner, Francis","Early Veterinary Graduates, 1825-1865",1863,"Bingley, Yorkshire"
"Richmond, Robert","Early Veterinary Graduates, 1825-1865",1855,"Poppleton, Yorkshire"
"Baird, Colin Camphell","Early Veterinary Graduates, 1825-1865",1852,"Cupar, Fife"
"Grieve, James","Early Veterinary Graduates, 1825-1865",1829,Crossgates
"Ferris, John","Early Veterinary Graduates, 1825-1865",1856,Devonshire
"Dollar, John,","Early Veterinary Graduates, 1825-1865",1855,"Paris,"
"Cade, Thomas","Early Veterinary Graduates, 1825-1865",1849,Bristol
"Ogston, Robert","Early Veterinary Graduates, 1825-1865",1858,"Mill of Calurlie, Aberdeenshire"
"Lockhart, Alexander","Early Veterinary Graduates, 1825-1865",1865,Glasgow
"Wordie, Robert","Early Veterinary Graduates, 1825-1865",1845,Cumbernauld
"Connacher, George","Early Veterinary Graduates, 1825-1865",1857,Perth
"Bland, George","Early Veterinary Graduates, 1825-1865",1851,"Alfreton, Derbyshire"
"Anderson, Hugh","Early Veterinary Graduates, 1825-1865",1863,Army
"Ganley, Andrew","Early Veterinary Graduates, 1825-1865",1860,"Dublin,"
"Paton, William","Early Veterinary Graduates, 1825-1865",1838,Inchinnan
"Milligan, John","Early Veterinary Graduates, 1825-1865",1864,Lockerbie
"Scott, Strettel","Early Veterinary Graduates, 1825-1865",1859,Dublin
"Drynan, Thomas","Early Veterinary Graduates, 1825-1865",1849,"Ballantrae, Aberdeen"
"Unsworth, John Bell","Early Veterinary Graduates, 1825-1865",1856,Manchester
"Forsyth, Robert","Early Veterinary Graduates, 1825-1865",1837,Portobello
"Tindal, James","Early Veterinary Graduates, 1825-1865",1834,Glasgow
"Whittle, William","Early Veterinary Graduates, 1825-1865",1848,Manchester
"Barton, John","Early Veterinary Graduates, 1825-1865",1844,Lancashire
"Austin, John Thomas","Early Veterinary Graduates, 1825-1865",1857,"Huddersfield, Yorkshire"
"Clarke, William B.","Early Veterinary Graduates, 1825-1865",1844,Cambridge
"Willett, Wm. Gregory","Early Veterinary Graduates, 1825-1865",1861,"Stretton, Cheshire"
"Young, Andrew","Early Veterinary Graduates, 1825-1865",1834,Jedburgh
"Waugh, William","Early Veterinary Graduates, 1825-1865",1846,Stirling
"Ball, Joseph","Early Veterinary Graduates, 1825-1865",1852,Royal Artillery
"Abbot, Charles","Early Veterinary Graduates, 1825-1865",1841,Manchester
"Hely, F. A.","Early Veterinary Graduates, 1825-1865",1849,"Carrickmacross, Ireland"
"Williams, William","Early Veterinary Graduates, 1825-1865",1857,"Bradford, Yorkshire"
"Strangeways, Thomas","Early Veterinary Graduates, 1825-1865",1857,"Lecturer on Anatomy, Edin. Veterinary College"
"Smith, James","Early Veterinary Graduates, 1825-1865",1829,Inverury
"Sharp, Thomas","Early Veterinary Graduates, 1825-1865",1865,Hamilton
"Simpson, Cuthbert","Early Veterinary Graduates, 1825-1865",1837,Manchester
"Lyon, John","Early Veterinary Graduates, 1825-1865",1845,"Prescott, Lancashire"
"Scott, George","Early Veterinary Graduates, 1825-1865",1859,Norham
"Robertson, Adam C.","Early Veterinary Graduates, 1825-1865",1862,Airdrie
"Simpson, Thomas","Early Veterinary Graduates, 1825-1865",1864,"Ellon, Aberdeenshire"
"Friend, William","Early Veterinary Graduates, 1825-1865",1848,Walsall
"Young, David","Early Veterinary Graduates, 1825-1865",1865,Hamilton
"Ellison, Alexander","Early Veterinary Graduates, 1825-1865",1847,"Tain, Ross-shire"
"Shortt, John","Early Veterinary Graduates, 1825-1865",1860,"Madras, East Indies"
"Jackson, Thomas","Early Veterinary Graduates, 1825-1865",1861,"Portadown, Armagh"
"Stewart, John","Early Veterinary Graduates, 1825-1865",1860,Australia
"Stone, Harry","Early Veterinary Graduates, 1825-1865",1864,"Donington, Leicestershire"
"Moorehouse, James W.","Early Veterinary Graduates, 1825-1865",1853,New Zealand
"Horsburgh, James","Early Veterinary Graduates, 1825-1865",1835,Dalkeith
"Scriven, George","Early Veterinary Graduates, 1825-1865",1844,Wetherby
"Keith, Alexander","Early Veterinary Graduates, 1825-1865",1853,"Old Deer, Aberdeen"
"Cairns, James","Early Veterinary Graduates, 1825-1865",1858,"Farnell, Forfarshire"
"Murray, Thomas","Early Veterinary Graduates, 1825-1865",1846,"Tulla, Clare"
"Douglas, John","Early Veterinary Graduates, 1825-1865",1857,"New Cumnock, Ayr"
"M'Dougall, James","Early Veterinary Graduates, 1825-1865",1838,West Kilpatrick
"Dun, Robert","Early Veterinary Graduates, 1825-1865",1854,Edinburgh
"Poett, Augustus J. J.","Early Veterinary Graduates, 1825-1865",1843,East India Company
"Illensworth, Thomas","Early Veterinary Graduates, 1825-1865",1854,High Hesket
"Skea, Joseph","Early Veterinary Graduates, 1825-1865",1843,Aberdeen
"Worthington, William","Early Veterinary Graduates, 1825-1865",1840,"Clinical Assistant, Edinburgh Veterinary College"
"Pitt, John Edward","Early Veterinary Graduates, 1825-1865",1857,Birmingham
"Morgan, George","Early Veterinary Graduates, 1825-1865",1856,Liverpool
"Chalwin, Thomas","Early Veterinary Graduates, 1825-1865",1853,Sussex
"Barton, Charles E.","Early Veterinary Graduates, 1825-1865",1849,East India Company
"Dixon, William","Early Veterinary Graduates, 1825-1865",1856,Manchester
"Towers, J. T.","Early Veterinary Graduates, 1825-1865",1850,13th Light Dragoons
"M'Crorie, Thomas","Early Veterinary Graduates, 1825-1865",1865,"Monkton, Ayrshire"
"Mayer, William","Early Veterinary Graduates, 1825-1865",1846,Penrith
"Ker, James","Early Veterinary Graduates, 1825-1865",1862,Peebles
"Barr, William","Early Veterinary Graduates, 1825-1865",1840,"Stair, Ayrshire"
"Low, John","Early Veterinary Graduates, 1825-1865",1842,"Marchburn, Kincardine"
"Hogarth, George","Early Veterinary Graduates, 1825-1865",1842,Berwick-upon-Tweed
"Bale, James","Early Veterinary Graduates, 1825-1865",1860,"Otley, Yorkshire"
"Hardy, Adam","Early Veterinary Graduates, 1825-1865",1844,"Roxburgh, America"
"Dodds, Robert S.","Early Veterinary Graduates, 1825-1865",1857,Alnwick
"Dudgeon, David","Early Veterinary Graduates, 1825-1865",1849,Tynningham
"Barron, Edward","Early Veterinary Graduates, 1825-1865",1862,Dublin
"Barker, John","Early Veterinary Graduates, 1825-1865",1852,7th Dragoons
"Taylor, Alexander","Early Veterinary Graduates, 1825-1865",1842,Brechin
"Crighton, James","Early Veterinary Graduates, 1825-1865",1834,Cupar-Fife
"M'Lean, John","Early Veterinary Graduates, 1825-1865",1856,"Springburn, Glasgow"
"Potts, Leonard","Early Veterinary Graduates, 1825-1865",1859,Penrith
"Briggs, John","Early Veterinary Graduates, 1825-1865",1841,Coventry
"Smeaton, Alexander","Early Veterinary Graduates, 1825-1865",1834,Crichton
"Hay, John","Early Veterinary Graduates, 1825-1865",1848,"Lauder, Berwickshire"
"Hepburn, Michael","Early Veterinary Graduates, 1825-1865",1863,Blair-Adam
"Baxter, James","Early Veterinary Graduates, 1825-1865",1843,Errol
"Hepburn, John","Early Veterinary Graduates, 1825-1865",1850,Milnathort
"Chambers, George","Early Veterinary Graduates, 1825-1865",1834,"Tarves, Aberdeen"
"Eckford, Jas. M.","Early Veterinary Graduates, 1825-1865",1866,Leith
"Muter, William","Early Veterinary Graduates, 1825-1865",1849,Cape of Good Hope
"Smith, William","Early Veterinary Graduates, 1825-1865",1854,Ceylon
"Barker, William G.","Early Veterinary Graduates, 1825-1865",1865,"Skelton, Yorkshire"
"Grainger, James","Early Veterinary Graduates, 1825-1865",1844,"Rosewell, Edinburgh"
"Scholefield, John","Early Veterinary Graduates, 1825-1865",1857,Pontefract
"Lawson, William C.","Early Veterinary Graduates, 1825-1865",1864,Bolton
"Hill, William F. H.","Early Veterinary Graduates, 1825-1865",1857,Cheshire
"M'Gregor, Andrew","Early Veterinary Graduates, 1825-1865",1838,Crieff
"Fields, William","Early Veterinary Graduates, 1825-1865",1862,"Beverley, Yorkshire"
"Romanis, Charles S.","Early Veterinary Graduates, 1825-1865",1847,St Petersburg
"Dycer, William","Early Veterinary Graduates, 1825-1865",1841,Dublin
"Barter, Robert H.","Early Veterinary Graduates, 1825-1865",1845,Australia
"Fraser, Charles","Early Veterinary Graduates, 1825-1865",1841,Limerick
"Rowe, H. S.","Early Veterinary Graduates, 1825-1865",1849,Leeds
"Lord, William C.","Early Veterinary Graduates, 1825-1865",1842,5th Lancers
"Kendall, Joseph","Early Veterinary Graduates, 1825-1865",1866,"Lowich Bridge, Lancashire"
"Guthrie, David","Early Veterinary Graduates, 1825-1865",1858,Forfar
"Rhodes, John H.","Early Veterinary Graduates, 1825-1865",1864,Manchester
"M'Intosh, Andrew J.","Early Veterinary Graduates, 1825-1865",1862,Dumfries
"Poett, John Luke","Early Veterinary Graduates, 1825-1865",1860,Curragh
"Pottie, John","Early Veterinary Graduates, 1825-1865",1858,Australia
"Callender, Joseph","Early Veterinary Graduates, 1825-1865",1864,Falkirk
"Murphy, John B.","Early Veterinary Graduates, 1825-1865",1846,"Drogheda, Louth"
"Mitchell, Graham","Early Veterinary Graduates, 1825-1865",1854,Linlithgowshire
"Turnbull, John","Early Veterinary Graduates, 1825-1865",1862,"Rhynie, Aberdeenshire"
"M'Kerrow, Hugh","Early Veterinary Graduates, 1825-1865",1828,Lesmahagow
"King, James","Early Veterinary Graduates, 1825-1865",1843,Belfast
"Dacre, William","Early Veterinary Graduates, 1825-1865",1866,Manchester
"Smith, Gilbert","Early Veterinary Graduates, 1825-1865",1836,"Closeburn, Dumfries"
"Aitkin, John","Early Veterinary Graduates, 1825-1865",1836,Edinburgh
"Caldwell, Alexander","Early Veterinary Graduates, 1825-1865",1846,India
"Baxter, David","Early Veterinary Graduates, 1825-1865",1851,Perth
"Moir, Charles","Early Veterinary Graduates, 1825-1865",1851,Wales
"Perrie, James","Early Veterinary Graduates, 1825-1865",1828,Old Deer
"Bell, James","Early Veterinary Graduates, 1825-1865",1859,"Dupplin, Perth"
"Sorely, Robert","Early Veterinary Graduates, 1825-1865",1846,"Cromar, Aberdeenshire"
"Savage, Charles John","Early Veterinary Graduates, 1825-1865",1853,Manchester
"Soulsby, James Collier","Early Veterinary Graduates, 1825-1865",1857,Hartlepool
"Ord, Robert","Early Veterinary Graduates, 1825-1865",1846,Roxburgh
"Ormiston, William","Early Veterinary Graduates, 1825-1865",1837,Mexico
"Douglas, George","Early Veterinary Graduates, 1825-1865",1843,Woolsthorpe
"Lauder, Charles","Early Veterinary Graduates, 1825-1865",1830,Dumfries
"Anderson, George W.","Early Veterinary Graduates, 1825-1865",1864,"Rayne, Aberdeen"
"Copeland, Laurence","Early Veterinary Graduates, 1825-1865",1855,"Shiffnal, Salop"
"Thomson, Samuel","Early Veterinary Graduates, 1825-1865",1850,Corehouse
"Dickson, Thomas","Early Veterinary Graduates, 1825-1865",1840,Dumfries
"Reid, Robert","Early Veterinary Graduates, 1825-1865",1860,"Assistant-Inspector of Slaughter-Houses, Edin."
"M'Gillivray, Alex. E.","Early Veterinary Graduates, 1825-1865",1866,"Rayne, Aberdeenshire"
"Atkinson, Frederick","Early Veterinary Graduates, 1825-1865",1847,"Cartmel, Lancashire"
"Monkman, Mark","Early Veterinary Graduates, 1825-1865",1841,Leeds
"Fleming, William","Early Veterinary Graduates, 1825-1865",1861,Oldham
"Murphy, M. B. J.","Early Veterinary Graduates, 1825-1865",1848,Dublin
"Clelland, George","Early Veterinary Graduates, 1825-1865",1834,Rosewell
"Kirkby, James","Early Veterinary Graduates, 1825-1865",1856,"Sibsey, Lincolnshire"
"Cunningham, William","Early Veterinary Graduates, 1825-1865",1827,Kilmarnock
"Wilson, Robert Stretton","Early Veterinary Graduates, 1825-1865",1852,"Ollerton, Notts"
"Glass, John W.","Early Veterinary Graduates, 1825-1865",1843,"Coldston, Aberdeen"
"Hay, G. W.","Early Veterinary Graduates, 1825-1865",1837,Boswell's Green
"Hamilton, John H.","Early Veterinary Graduates, 1825-1865",1862,"Kandy, Ceylon"
"Cherry, Alfred H.","Early Veterinary Graduates, 1825-1865",1844,Clapham
"Fraser, Alexander","Early Veterinary Graduates, 1825-1865",1856,"Marnoch, Banff"
"M'Caa, John","Early Veterinary Graduates, 1825-1865",1844,Ayrshire
"Lambert, James","Early Veterinary Graduates, 1825-1865",1855,Royal Artillery
"Herd, John","Early Veterinary Graduates, 1825-1865",1845,"Appleby, Westmoreland"
"Rawes, William","Early Veterinary Graduates, 1825-1865",1859,"Shap, Westmoreland"
"Law, James","Early Veterinary Graduates, 1825-1865",1857,Edinburgh
"M'Vean, Rober","Early Veterinary Graduates, 1825-1865",1828,Stirling
"Amos, Alexander","Early Veterinary Graduates, 1825-1865",1841,Gorebridge
"Grant, Robert","Early Veterinary Graduates, 1825-1865",1857,"Craig-begg, Invemess-shire"
"Diack, George","Early Veterinary Graduates, 1825-1865",1857,"Old Meldrum, Aberdeenshire"
"Lothian, William","Early Veterinary Graduates, 1825-1865",1844,"Thirlstane, Berwickshire"
"Coleman, Edward","Early Veterinary Graduates, 1825-1865",1856,London
"Mason, Robert","Early Veterinary Graduates, 1825-1865",1835,North Berwick
"Duff, Archibald","Early Veterinary Graduates, 1825-1865",1832,"Edradour, Perth"
"Mills, John","Early Veterinary Graduates, 1825-1865",1858,18th Light Dragoons
"Brooks, William Mason","Early Veterinary Graduates, 1825-1865",1856,"Breedon, Leicestershire"
"Thomson, John","Early Veterinary Graduates, 1825-1865",1833,"Kingswood, Perth"
"Reynolds, Bernard","Early Veterinary Graduates, 1825-1865",1851,Dublin
"Thomson, Thomas","Early Veterinary Graduates, 1825-1865",1832,"Redstone, Perthshire"
"Dollar, Thomas A.","Early Veterinary Graduates, 1825-1865",1851,"New Bond Street, London"
"Pugh, Charles G.","Early Veterinary Graduates, 1825-1865",1842,Haverford West
"Lambert, Septimus","Early Veterinary Graduates, 1825-1865",1861,Manchester
"Challinor, Alfred","Early Veterinary Graduates, 1825-1865",1864,"Pendlebury, Manchester"
"Gray, Thomas","Early Veterinary Graduates, 1825-1865",1846,India
"Smith, Andrew","Early Veterinary Graduates, 1825-1865",1861,"Lecturer on Veterinary Science, Toronto, Canada"
"Thomson, Robert","Early Veterinary Graduates, 1825-1865",1828,Auchterarder
"Wheeler, William C.","Early Veterinary Graduates, 1825-1865",1862,"Cairo, Egypt"
"Marshall, Thomas","Early Veterinary Graduates, 1825-1865",1851,Glasgow
"Teviotdale, John","Early Veterinary Graduates, 1825-1865",1839,Elgin
"Reilley, Owen","Early Veterinary Graduates, 1825-1865",1860,"Oristown, Ireland"
"O'Brien, Maurice","Early Veterinary Graduates, 1825-1865",1866,Clonmel
"Maginn, Charles James","Early Veterinary Graduates, 1825-1865",1847,Ireland
"Brett, Alfred","Early Veterinary Graduates, 1825-1865",1862,Edinburgh
"Taylor, William","Early Veterinary Graduates, 1825-1865",1859,"Wetherby, Yorkshire"
"Webster, John","Early Veterinary Graduates, 1825-1865",1862,"Fourden, Kincardineshire"
"Newton, Peter","Early Veterinary Graduates, 1825-1865",1842,America
"Butters, A.","Early Veterinary Graduates, 1825-1865",1865,Edinburgh
"Duncan, Archibald","Early Veterinary Graduates, 1825-1865",1834,"Colinsburgh, Fife"
"Anderson, James","Early Veterinary Graduates, 1825-1865",1828,Leicester
"White, John","Early Veterinary Graduates, 1825-1865",1846,"Waltham, Lincolnshire"
"Thomson, George","Early Veterinary Graduates, 1825-1865",1853,"Horncastle, Lincolnshire"
"Carmichael, Alexander","Early Veterinary Graduates, 1825-1865",1840,Ripon
"Barron, Neil M.","Early Veterinary Graduates, 1825-1865",1861,"Old Deer, Aberdeen"
"Sinclair, John","Early Veterinary Graduates, 1825-1865",1834,Auchterarder
"Berrie, William","Early Veterinary Graduates, 1825-1865",1851,"Whitehouse, Aberdeen"
"Siddell, Thomas","Early Veterinary Graduates, 1825-1865",1844,Shotley
"Coupland, William","Early Veterinary Graduates, 1825-1865",1863,"Little Sutton, Cheshire"
"M'Lae, William","Early Veterinary Graduates, 1825-1865",1852,Dalmuir
"Barron, James","Early Veterinary Graduates, 1825-1865",1857,Aberdeenshire
"M'Call, James","Early Veterinary Graduates, 1825-1865",1857,Glasgow
"Barlow, John","Early Veterinary Graduates, 1825-1865",1844,Cheshire
"Marshall, Matthew J.","Early Veterinary Graduates, 1825-1865",1853,East India Company
"Doig, John","Early Veterinary Graduates, 1825-1865",1850,Wigtown
"Bowie, James","Early Veterinary Graduates, 1825-1865",1851,Hawick
"Haslam, James N.","Early Veterinary Graduates, 1825-1865",1859,Manchester
"Kirkham, James","Early Veterinary Graduates, 1825-1865",1841,Liverpool
"Duns, David G.","Early Veterinary Graduates, 1825-1865",1866,Dunse
"Young, William","Early Veterinary Graduates, 1825-1865",1832,Lanarkshire
"Wilson, William","Early Veterinary Graduates, 1825-1865",1862,Sanquhar
"Little, Thomas","Early Veterinary Graduates, 1825-1865",1862,"Swineflect, Yorkshire"
"Lawson, John, Jun.","Early Veterinary Graduates, 1825-1865",1862,Manchester
"M'Gavin, James","Early Veterinary Graduates, 1825-1865",1848,Johnstone
"Anderson, Robert","Early Veterinary Graduates, 1825-1865",1853,Lanark
"Aitkin, John","Early Veterinary Graduates, 1825-1865",1841,Dalkeith
"White, James","Early Veterinary Graduates, 1825-1865",1836,Aberdeenshire
"Allison, William","Early Veterinary Graduates, 1825-1865",1840,"Thornley, Durham"
"Thomson, Henry","Early Veterinary Graduates, 1825-1865",1833,Rosyth
"Stewart, Thomas","Early Veterinary Graduates, 1825-1865",1850,Broughty Ferry
"Pettigrew, Robert","Early Veterinary Graduates, 1825-1865",1847,Carluke
"Gray, Edward Simpson","Early Veterinary Graduates, 1825-1865",1839,8th Hussars
"Taylor, James","Early Veterinary Graduates, 1825-1865",1863,"Co. Down, Ireland"
"Simpson, John","Early Veterinary Graduates, 1825-1865",1846,Liverpool
"Stowe, William H.","Early Veterinary Graduates, 1825-1865",1857,Warwick
"Kirkpatrick, John","Early Veterinary Graduates, 1825-1865",1831,"Dunscore, Dumfriesshire"
"Tudhope, David","Early Veterinary Graduates, 1825-1865",1844,"Lesmahagow, Lanarkshire"
"Ritchie, James","Early Veterinary Graduates, 1825-1865",1838,Perthshire
"Lee, John Henry","Early Veterinary Graduates, 1825-1865",1857,Chesterfield
"Borthwick, John","Early Veterinary Graduates, 1825-1865",1844,Kirkliston
"Steel, John","Early Veterinary Graduates, 1825-1865",1831,"Biggar, Lanarkshire"
"Mitchell, Robert","Early Veterinary Graduates, 1825-1865",1859,Glasgow
"Coates, Thomas","Early Veterinary Graduates, 1825-1865",1860,"Barden Mill, Northumberland"
"Harrison, John","Early Veterinary Graduates, 1825-1865",1857,"Brough, Westmoreland"
"Barr, Robert","Early Veterinary Graduates, 1825-1865",1826,Irvine
"Grant, Norman","Early Veterinary Graduates, 1825-1865",1850,"Dalrey, Eorres"
"Heard, Edward H.","Early Veterinary Graduates, 1825-1865",1864,Carrick-on-Suir
"Keith, James","Early Veterinary Graduates, 1825-1865",1865,Old Deer
"Wilkinson, James","Early Veterinary Graduates, 1825-1865",1844,"Dundee, Forfarshire"
"Sermon, George","Early Veterinary Graduates, 1825-1865",1862,Manchester
"Farrell, Hiram","Early Veterinary Graduates, 1825-1865",1858,"E.I.C., Bombay"
"Byrne, Luke","Early Veterinary Graduates, 1825-1865",1842,4th Dragoon Guards
"Breakell, James","Early Veterinary Graduates, 1825-1865",1854,Preston
"Irvine, John","Early Veterinary Graduates, 1825-1865",1840,Castle-Douglas
"Wylie, George","Early Veterinary Graduates, 1825-1865",1842,"Slewoodfield, Aberdeenshire"
"Fogan, James","Early Veterinary Graduates, 1825-1865",1859,Northumberland
"Cunningham, Cornelius","Early Veterinary Graduates, 1825-1865",1859,Slateford
"Sproull, James","Early Veterinary Graduates, 1825-1865",1840,"Milngavie, Glasgow"
"Learmonth, Thomas","Early Veterinary Graduates, 1825-1865",1837,Edinburgh
"Keith, William","Early Veterinary Graduates, 1825-1865",1858,New York
"Secker, Thomas","Early Veterinary Graduates, 1825-1865",1849,Ripon
"Roy, William","Early Veterinary Graduates, 1825-1865",1842,Crieff
"Perry, Edward","Early Veterinary Graduates, 1825-1865",1865,Leicestershire
"Reid, Patrick","Early Veterinary Graduates, 1825-1865",1844,Easter-Middleton
"Capes, William","Early Veterinary Graduates, 1825-1865",1852,Bridport
"Michie, Thomas","Early Veterinary Graduates, 1825-1865",1855,Australia
"Borthwick, James","Early Veterinary Graduates, 1825-1865",1850,Australia
"Graham, Young R.","Early Veterinary Graduates, 1825-1865",1847,Birmingham
"Duns, W. E.","Early Veterinary Graduates, 1825-1865",1863,Dunse
"Little, John","Early Veterinary Graduates, 1825-1865",1863,"Agusterton, Cumberland"
"Seaman, Isaac","Early Veterinary Graduates, 1825-1865",1845,"Saffron, Walden"
"Murray, David","Early Veterinary Graduates, 1825-1865",1838,Methven
"Marshall, William","Early Veterinary Graduates, 1825-1865",1844,Yorkshire
"Storie, Francis","Early Veterinary Graduates, 1825-1865",1827,East Linton
"Feamley, William","Early Veterinary Graduates, 1825-1865",1866,"Featherston, York"
"Fairley, John","Early Veterinary Graduates, 1825-1865",1857,"Glamis, Forfarshire"
"Langdon, John","Early Veterinary Graduates, 1825-1865",1854,Launceston
"Gavin, William","Early Veterinary Graduates, 1825-1865",1845,"India,"
"Sloane, E. W.","Early Veterinary Graduates, 1825-1865",1865,Kirkcudbright
"Secker, Charles","Early Veterinary Graduates, 1825-1865",1844,Knaresborough
"Shenton, Thomas","Early Veterinary Graduates, 1825-1865",1850,Bakewell
